Arquivo,Data,Hora,Data/Hora,Status,Texto IA
WhatsApp Image 2026-09-09 at 18.07.33 (1).jpeg,09/09/2026,15:15:52.775,09/09/2026 15:15:52.775,OK,09/09/2026 15:15:52.775
WhatsApp Image 2026-09-09 at 18.07.33.jpeg,09/09/2026,15:15:53.495,09/09/2026 15:15:53.495,OK,09/09/2026 15:15:53.495
WhatsApp Image 2026-09-09 at 18.07.32 (3).jpeg,09/09/2026,15:15:55.020,09/09/2026 15:15:55.020,OK,09/09/2026 15:15:55.020
WhatsApp Image 2026-09-09 at 18.07.32 (4).jpeg,09/09/2026,15:15:56.674,09/09/2026 15:15:56.674,OK,09/09/2026 15:15:56.674
WhatsApp Image 2026-09-09 at 18.07.32.jpeg,09/09/2026,15:16:10.734,09/09/2026 15:16:10.734,OK,09/09/2026 15:16:10.734
WhatsApp Image 2026-09-09 at 18.06.40 (2).jpeg,09/09/2026,17:58:35.367,09/09/2026 17:58:35.367,OK,09/09/2026 17:58:35.367
WhatsApp Image 2026-09-09 at 18.06.40 (1).jpeg,09/09/2026,17:58:53.813,09/09/2026 17:58:53.813,OK,09/09/2026 17:58:53.813
WhatsApp Image 2026-09-09 at 18.06.39 (2).jpeg,09/09/2026,17:58:57.169,09/09/2026 17:58:57.169,OK,09/09/2026 17:58:57.169
WhatsApp Image 2026-09-09 at 18.06.39 (1).jpeg,09/09/2026,17:58:59.801,09/09/2026 17:58:59.801,OK,09/09/2026 17:58:59.801
WhatsApp Image 2026-09-09 at 18.06.39.jpeg,09/09/2026,17:59:01.335,09/09/2026 17:59:01.335,OK,09/09/2026 17:59:01.335
